,ID,Reason for Absence,Date,Transportation Expense,Distance to Work,Age,Daily Work Load Average,Body Mass Index,Education,Children,Pets,Absenteeism Time in Hours,Month,Year,Day of week
0,11,4,2015-07-07,289,36,33,239.554,30,1,2,1,4,7,2015,1
1,36,4,2015-07-14,118,13,50,239.554,31,1,1,0,0,7,2015,1
2,3,4,2015-07-15,179,51,38,239.554,31,1,0,0,2,7,2015,2
3,7,1,2015-07-16,279,5,39,239.554,24,1,2,0,4,7,2015,3
4,11,4,2015-07-23,289,36,33,239.554,30,1,2,1,2,7,2015,3
5,3,4,2015-07-10,179,51,38,239.554,31,1,0,0,2,7,2015,4
6,10,4,2015-07-17,361,52,28,239.554,27,1,1,4,8,7,2015,4
7,20,4,2015-07-24,260,50,36,239.554,23,1,4,0,4,7,2015,4
8,14,3,2015-07-06,155,12,34,239.554,25,1,2,0,40,7,2015,0
9,1,4,2015-07-13,235,11,37,239.554,29,3,1,1,8,7,2015,0
10,20,1,2015-07-20,260,50,36,239.554,23,1,4,0,8,7,2015,0
11,20,1,2015-07-14,260,50,36,239.554,23,1,4,0,8,7,2015,1
12,20,1,2015-07-15,260,50,36,239.554,23,1,4,0,8,7,2015,2
13,3,1,2015-07-15,179,51,38,239.554,31,1,0,0,1,7,2015,2
14,3,4,2015-07-15,179,51,38,239.554,31,1,0,0,4,7,2015,2
15,24,1,2015-07-17,246,25,41,239.554,23,1,0,0,8,7,2015,4
16,3,4,2015-07-17,179,51,38,239.554,31,1,0,0,2,7,2015,4
17,3,3,2015-07-27,179,51,38,239.554,31,1,0,0,8,7,2015,0
18,6,1,2015-07-30,189,29,33,239.554,25,1,2,2,8,7,2015,3
19,33,4,2015-08-05,248,25,47,205.917,32,1,2,1,2,8,2015,2
20,18,1,2015-08-12,330,16,28,205.917,25,2,0,0,8,8,2015,2
21,3,1,2015-08-03,179,51,38,205.917,31,1,0,0,1,8,2015,0
22,10,1,2015-08-10,361,52,28,205.917,27,1,1,4,40,8,2015,0
23,20,4,2015-08-14,260,50,36,205.917,23,1,4,0,4,8,2015,4
24,11,3,2015-08-17,289,36,33,205.917,30,1,2,1,8,8,2015,0
25,10,4,2015-08-24,361,52,28,205.917,27,1,1,4,7,8,2015,0
26,11,4,2015-08-04,289,36,33,205.917,30,1,2,1,1,8,2015,1
27,30,4,2015-08-12,157,27,29,205.917,22,1,0,0,4,8,2015,2
28,11,3,2015-08-19,289,36,33,205.917,30,1,2,1,8,8,2015,2
29,3,4,2015-08-28,179,51,38,205.917,31,1,0,0,2,8,2015,4
30,3,3,2015-08-17,179,51,38,205.917,31,1,0,0,8,8,2015,0
31,2,3,2015-08-27,235,29,48,205.917,33,1,1,5,8,8,2015,3
32,1,4,2015-08-27,235,11,37,205.917,29,3,1,1,4,8,2015,3
33,2,3,2015-08-17,235,29,48,205.917,33,1,1,5,8,8,2015,0
34,3,4,2015-08-17,179,51,38,205.917,31,1,0,0,2,8,2015,0
35,10,4,2015-08-17,361,52,28,205.917,27,1,1,4,1,8,2015,0
36,11,4,2015-08-04,289,36,33,205.917,30,1,2,1,8,8,2015,1
37,19,1,2015-08-20,291,50,32,205.917,23,1,0,0,4,8,2015,3
38,2,4,2015-08-21,235,29,48,205.917,33,1,1,5,8,8,2015,4
39,20,4,2015-08-28,260,50,36,205.917,23,1,4,0,4,8,2015,4
40,27,4,2015-09-01,184,42,27,241.476,21,1,0,0,2,9,2015,1
41,34,4,2015-09-07,118,10,37,241.476,28,1,0,0,4,9,2015,0
42,3,4,2015-09-01,179,51,38,241.476,31,1,0,0,4,9,2015,1
43,5,3,2015-09-08,235,20,43,241.476,38,1,1,0,8,9,2015,1
44,14,4,2015-09-09,155,12,34,241.476,25,1,2,0,2,9,2015,2
45,34,4,2015-09-13,118,10,37,241.476,28,1,0,0,3,9,2015,6
46,3,4,2015-09-14,179,51,38,241.476,31,1,0,0,3,9,2015,0
47,15,4,2015-09-24,291,31,40,241.476,25,1,1,1,4,9,2015,3
48,20,4,2015-09-04,260,50,36,241.476,23,1,4,0,8,9,2015,4
49,15,1,2015-09-14,291,31,40,241.476,25,1,1,1,32,9,2015,0
50,20,4,2015-09-21,260,50,36,241.476,23,1,4,0,0,9,2015,0
51,29,4,2015-09-28,225,26,28,241.476,24,1,1,2,0,9,2015,0
52,28,4,2015-09-08,225,26,28,241.476,24,1,1,2,2,9,2015,1
53,34,4,2015-09-15,118,10,37,241.476,28,1,0,0,2,9,2015,1
54,11,4,2015-09-22,289,36,33,241.476,30,1,2,1,0,9,2015,1
55,36,4,2015-09-29,118,13,50,241.476,31,1,1,0,0,9,2015,1
56,28,3,2015-09-16,225,26,28,241.476,24,1,1,2,3,9,2015,2
57,3,4,2015-09-23,179,51,38,241.476,31,1,0,0,3,9,2015,2
58,13,4,2015-09-30,369,17,31,241.476,25,1,3,0,0,9,2015,2
59,33,4,2015-09-11,248,25,47,241.476,32,1,2,1,1,9,2015,4
60,3,4,2015-09-18,179,51,38,241.476,31,1,0,0,3,9,2015,4
61,20,4,2015-09-25,260,50,36,241.476,23,1,4,0,4,9,2015,4
62,3,4,2015-10-06,179,51,38,253.465,31,1,0,0,3,10,2015,1
63,34,4,2015-10-13,118,10,37,253.465,28,1,0,0,3,10,2015,1
64,36,4,2015-10-14,118,13,50,253.465,31,1,1,0,0,10,2015,2
65,22,4,2015-10-15,179,26,30,253.465,19,3,0,0,1,10,2015,3
66,3,4,2015-10-16,179,51,38,253.465,31,1,0,0,3,10,2015,4
67,28,4,2015-10-16,225,26,28,253.465,24,1,1,2,3,10,2015,4
68,34,4,2015-10-06,118,10,37,253.465,28,1,0,0,3,10,2015,1
69,28,4,2015-10-14,225,26,28,253.465,24,1,1,2,2,10,2015,2
70,33,4,2015-10-21,248,25,47,253.465,32,1,2,1,2,10,2015,2
71,15,4,2015-10-22,291,31,40,253.465,25,1,1,1,5,10,2015,3
72,3,4,2015-10-21,179,51,38,253.465,31,1,0,0,8,10,2015,2
73,28,4,2015-10-21,225,26,28,253.465,24,1,1,2,3,10,2015,2
74,20,3,2015-10-22,260,50,36,253.465,23,1,4,0,16,10,2015,3
75,15,1,2015-10-13,291,31,40,253.465,25,1,1,1,8,10,2015,1
76,28,4,2015-10-20,225,26,28,253.465,24,1,1,2,2,10,2015,1
77,11,4,2015-10-21,289,36,33,253.465,30,1,2,1,8,10,2015,2
78,10,4,2015-10-23,361,52,28,253.465,27,1,1,4,1,10,2015,4
79,20,4,2015-10-30,260,50,36,253.465,23,1,4,0,3,10,2015,4
80,3,4,2015-11-05,179,51,38,306.345,31,1,0,0,1,11,2015,3
81,28,4,2015-11-04,225,26,28,306.345,24,1,1,2,1,11,2015,2
82,3,1,2015-11-05,179,51,38,306.345,31,1,0,0,8,11,2015,3
